
 Version: 2.1
 Chunks: 1
 Start: 2026-08-31 19:11:47 (UTC)
 Duration: 1 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                          535          5219
 jdk.BooleanFlag                           493         14644
 jdk.ActiveSetting                         376          9324
 jdk.SystemProcess                         281         16254
 jdk.SocketRead                            240          9356
 jdk.SocketWrite                           239          8841
 jdk.ModuleRequire                         157          1413
 jdk.GCPhaseParallel                       141          3242
 jdk.LongFlag                              137          4260
 jdk.NativeLibrary                          95          6487
 jdk.UnsignedLongFlag                       93          3045
 jdk.Deoptimization                         55          1226
 jdk.InitialEnvironmentVariable             49          3011
 jdk.UnsignedIntFlag                        48          1534
 jdk.InitialSecurityProperty                45          2191
 jdk.IntFlag                                44          1519
 jdk.ObjectAllocationSample                 40           535
 jdk.Checkpoint                             37        133282
 jdk.StringFlag                             34          1199
 jdk.ThreadAllocationStatistics             31           262
 jdk.ExecutionSample                        27           265
 jdk.PromoteObjectInNewPLAB                 22           357
 jdk.DoubleFlag                             16           629
 jdk.InitialSystemProperty                  16          1875
 jdk.TenuringDistribution                   15           138
 jdk.JavaExceptionThrow                     14           732
 jdk.NativeMethodSample                      9            87
 jdk.ExecuteVMOperation                      8           112
 jdk.ClassLoaderStatistics                   6           153
 jdk.CodeCacheStatistics                     6           180
 jdk.GCHeapMemoryPoolUsage                   6           212
 jdk.JavaErrorThrow                          5            68
 jdk.SafepointBegin                          5            55
 jdk.ThreadStart                             5            51
 jdk.GCReferenceStatistics                   4            37
 jdk.MetaspaceChunkFreeListSummary           4            68
 jdk.OldObjectSample                         4           108
 jdk.GCPhasePauseLevel1                      3           118
 jdk.PromoteObjectOutsidePLAB                3            45
 jdk.G1HeapSummary                           2            42
 jdk.GCConfiguration                         2            48
 jdk.GCHeapMemoryUsage                       2            36
 jdk.GCHeapSummary                           2            70
 jdk.JavaMonitorStatistics                   2            14
 jdk.MetaspaceSummary                        2            96
 jdk.PhysicalMemory                          2            32
 jdk.SwapSpace                               2            32
 jdk.ActiveRecording                         1           102
 jdk.CPUInformation                          1          1501
 jdk.CPUTimeStampCounter                     1            16
 jdk.CodeCacheConfiguration                  1            43
 jdk.CompilerConfiguration                   1            10
 jdk.EvacuationInformation                   1            24
 jdk.G1AdaptiveIHOP                          1            37
 jdk.G1BasicIHOP                             1            35
 jdk.G1EvacuationOldStatistics               1            30
 jdk.G1EvacuationYoungStatistics             1            39
 jdk.G1GarbageCollection                     1            11
 jdk.G1MMU                                   1            12
 jdk.GCCPUTime                               1            13
 jdk.GCHeapConfiguration                     1            23
 jdk.GCPhasePause                            1            21
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GarbageCollection                       1            19
 jdk.JVMInformation                          1           572
 jdk.JavaMonitorWait                         1            25
 jdk.Metadata                                1        110521
 jdk.NativeLibraryLoad                       1            86
 jdk.OSInformation                           1           115
 jdk.Shutdown                                1            46
 jdk.ThreadCPULoad                           1            15
 jdk.ThreadEnd                               1             8
 jdk.VirtualizationInformation               1            20
 jdk.YoungGarbageCollection                  1            11
 jdk.YoungGenerationConfiguration            1            15
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPULoad                                 0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassLoadingStatistics                  0             0
 jdk.ClassRedefinition                       0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.Compilation                             0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerQueueUtilization                0             0
