
 Version: 2.1
 Chunks: 1
 Start: 2026-09-02 06:51:12 (UTC)
 Duration: 1 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                          535          5198
 jdk.BooleanFlag                           493         14644
 jdk.ActiveSetting                         376          9324
 jdk.SocketRead                            360         13956
 jdk.SocketWrite                           360         13410
 jdk.SystemProcess                         267         14824
 jdk.ModuleRequire                         157          1413
 jdk.GCPhaseParallel                       143          3283
 jdk.LongFlag                              137          4260
 jdk.ObjectAllocationSample                103          1407
 jdk.NativeLibrary                          99          6712
 jdk.UnsignedLongFlag                       93          3046
 jdk.Checkpoint                             81        178849
 jdk.Deoptimization                         52          1152
 jdk.InitialEnvironmentVariable             48          2982
 jdk.UnsignedIntFlag                        48          1534
 jdk.InitialSecurityProperty                45          2191
 jdk.IntFlag                                44          1519
 jdk.NativeMethodSample                     39           389
 jdk.StringFlag                             34          1201
 jdk.ThreadAllocationStatistics             30           254
 jdk.ExecutionSample                        24           234
 jdk.PromoteObjectInNewPLAB                 24           393
 jdk.DoubleFlag                             16           629
 jdk.InitialSystemProperty                  16          1877
 jdk.TenuringDistribution                   15           138
 jdk.JavaExceptionThrow                     14           729
 jdk.OldObjectSample                        10           278
 jdk.ExecuteVMOperation                      8           112
 jdk.ClassLoaderStatistics                   6           153
 jdk.CodeCacheStatistics                     6           180
 jdk.GCHeapMemoryPoolUsage                   6           212
 jdk.JavaErrorThrow                          5            66
 jdk.SafepointBegin                          5            55
 jdk.ThreadStart                             5            51
 jdk.GCReferenceStatistics                   4            37
 jdk.MetaspaceChunkFreeListSummary           4            68
 jdk.GCPhasePauseLevel1                      3           118
 jdk.G1HeapSummary                           2            42
 jdk.GCConfiguration                         2            48
 jdk.GCHeapMemoryUsage                       2            36
 jdk.GCHeapSummary                           2            70
 jdk.JavaMonitorStatistics                   2            14
 jdk.MetaspaceSummary                        2            96
 jdk.NativeLibraryLoad                       2           131
 jdk.PhysicalMemory                          2            32
 jdk.SwapSpace                               2            32
 jdk.ThreadCPULoad                           2            30
 jdk.ThreadEnd                               2            16
 jdk.ActiveRecording                         1           104
 jdk.CPUInformation                          1          1501
 jdk.CPULoad                                 1            18
 jdk.CPUTimeStampCounter                     1            16
 jdk.ClassLoadingStatistics                  1             9
 jdk.CodeCacheConfiguration                  1            43
 jdk.CompilationFailure                      1            35
 jdk.CompilerConfiguration                   1            10
 jdk.CompilerStatistics                      1            27
 jdk.EvacuationInformation                   1            24
 jdk.ExceptionStatistics                     1             8
 jdk.G1AdaptiveIHOP                          1            37
 jdk.G1BasicIHOP                             1            35
 jdk.G1EvacuationOldStatistics               1            30
 jdk.G1EvacuationYoungStatistics             1            40
 jdk.G1GarbageCollection                     1            11
 jdk.G1MMU                                   1            12
 jdk.GCCPUTime                               1            13
 jdk.GCHeapConfiguration                     1            23
 jdk.GCPhasePause                            1            21
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GarbageCollection                       1            19
 jdk.JVMInformation                          1           575
 jdk.JavaMonitorWait                         1            25
 jdk.JavaThreadStatistics                    1            10
 jdk.Metadata                                1        110521
 jdk.OSInformation                           1           114
 jdk.PromoteObjectOutsidePLAB                1            15
 jdk.ResidentSetSize                         1            14
 jdk.Shutdown                                1            46
 jdk.ThreadPark                              1            37
 jdk.VirtualizationInformation               1            20
 jdk.YoungGarbageCollection                  1            11
 jdk.YoungGenerationConfiguration            1            15
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassRedefinition                       0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.Compilation                             0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerQueueUtilization                0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.DeprecatedInvocation                    0             0
 jdk.Deserialization                         0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.FinalizerStatistics                     0             0
 jdk.Flush                                   0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.HeapDump                                0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JavaAgent                               0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceOOM                            0             0
 jdk.MethodTiming                            0             0
 jdk.MethodTrace                             0             0
 jdk.NativeAgent                             0             0
 jdk.NativeLibraryUnload                     0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.NetworkUtilization                      0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.ObjectCount                             0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.OldGarbageCollection                    0             0
 jdk.PSHeapSummary                           0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ProcessStart                            0             0
 jdk.PromotionFailed                         0             0
 jdk.RedefineClasses                         0             0
 jdk.ReservedStackActivation                 0             0
 jdk.RetransformClasses                      0             0
 jdk.SafepointEnd                            0             0
 jdk.SafepointLatency                        0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.SerializationMisdeclaration             0             0
 jdk.ShenandoahEvacuationInformation         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.StringFlagChanged                       0             0
 jdk.StringTableStatistics                   0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.SystemGC                                0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.ThreadDump                              0             0
 jdk.ThreadSleep                             0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.VirtualThreadStart                      0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZYoungGarbageCollection                 0             0
